"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"08/08/2015","100","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","179","53","83.4","08/08/2012","08/08/2017"
"08/09/2015","84","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","182","49","93","08/09/2012","08/09/2001"
"08/10/2015","58","Ozone","ROCKY FLATS-N","08-059-0006","AQS","140","51","80.6","08/10/2018","08/10/2010"
"08/11/2015","80","Ozone","ROCKY FLATS-N","08-059-0006","AQS","136","50","85.8","08/11/2003","08/11/2019"
"08/12/2015","105","Ozone","Chatfield State Park","08-035-0004","AQS","169","44","92.4","08/12/2007","08/12/2002"
"08/13/2015","67","Ozone","Aurora East","08-005-0006","AQS","151","33","91.8","08/13/2018","08/13/2005"
"08/14/2015","77","Ozone","ROCKY FLATS-N","08-059-0006","AQS","179","40","87.2","08/14/2007","08/14/2005"
"08/15/2015","80","Ozone","ROCKY FLATS-N","08-059-0006","AQS","151","36","81.6","08/15/2007","08/15/2008"
"08/16/2015","84","Ozone","Chatfield State Park","08-035-0004","AQS","159","45","113.2","08/16/2003","08/16/2005"
"08/17/2015","77","Ozone","Chatfield State Park","08-035-0004","AQS","151","46","87.2","08/17/2013","08/17/2000"
"08/18/2015","74","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","122","47","94.4","08/18/2017","08/18/2005"
"08/19/2015","93","Ozone","Goliath Peak","08-019-0004","AQS","143","44","77.2","08/19/2003","08/19/2005"
"08/20/2015","129","Ozone","Goliath Peak","08-019-0004","AQS","161","47","99.4","08/20/2003","08/20/2001"
